2017-12-11 22:08:08.7594||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 22:08:09.8592||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:13:37.6697||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:13:39.4123||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:14:14.1949||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:17:24.0143||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:17:44.3288||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:17:58.5640||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:18:25.2106||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:18:26.8007||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:18:43.1376||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:21:14.5856||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:21:16.2169||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:22:37.9793||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:22:39.5793||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:22:57.6916||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:24:09.6406||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:27:04.7730||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:28:24.0274||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:31:15.9443||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:31:17.5930||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:36:15.6279||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:37:13.2051||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:38:29.8399||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:38:46.6597||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:39:29.9398||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:44:13.4517||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:44:29.2345||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:44:45.1109||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:45:37.2267||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:45:46.3289||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:45:53.7336||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:48:27.7632||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-11 23:48:29.6562||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:49:13.0853||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-11 23:51:10.7619||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
